regulon	gene	cor	p	r2	Ensembl	in_Oxphos_68_Porcelli_list	is_in_TF_list
SCENIC_Glut4EF_activating_regulon	Glut4EF	-0.0299652559969461	5.04556521163846e-06	0.000897916566962513	FBgn0267336	FALSE	TRUE
SCENIC_Su(H)_activating_regulon	Su(H)	-0.0301550802322298	4.39434548111149e-06	0.000909328863812214	FBgn0004837	FALSE	TRUE
SCENIC_CG1603_activating_regulon	CG1603	-0.0310178461468127	2.32116017453921e-06	0.000962106779587342	FBgn0033185	FALSE	TRUE
SCENIC_Hey_activating_regulon	Hey	-0.033643099645708	3.00363983522422e-07	0.00113185815377104	FBgn0027788	FALSE	TRUE
SCENIC_Oli_activating_regulon	Oli	-0.0341911162155671	1.9220815602238e-07	0.00116903242806642	FBgn0032651	FALSE	TRUE
SCENIC_fd3F_activating_regulon	fd3F	-0.034740485709777	1.22029579041133e-07	0.00120690134735122	FBgn0264954	FALSE	TRUE
SCENIC_dmrt11E_activating_regulon	dmrt11E	-0.0366127298679599	2.46495337884758e-08	0.0013404919883842	FBgn0030477	FALSE	TRUE
SCENIC_knrl_activating_regulon	knrl	-0.0371879542911835	1.48411514245795e-08	0.00138294394436316	FBgn0001323	FALSE	TRUE
SCENIC_dsf_activating_regulon	dsf	-0.0378090937553785	8.50907258836265e-09	0.001429527570603	FBgn0015381	FALSE	TRUE
SCENIC_CG11902_activating_regulon	CG11902	-0.0379575022824938	7.44043023020915e-09	0.00144077197952552	FBgn0028647	FALSE	TRUE
SCENIC_CG18764_activating_regulon	CG18764	-0.0380739112584177	6.69466950377453e-09	0.00144962271851387	FBgn0042205	FALSE	TRUE
SCENIC_CG10979_activating_regulon	CG10979	-0.0389033390631586	3.12637815746716e-09	0.00151346979026308	FBgn0037379	FALSE	TRUE
SCENIC_CG14441_activating_regulon	CG14441	-0.0389066508069653	3.11678998226013e-09	0.00151372747701513	FBgn0029895	FALSE	TRUE
SCENIC_scrt_activating_regulon	scrt	-0.0390916319251327	2.62437228263295e-09	0.00152815568657005	FBgn0004880	FALSE	TRUE
SCENIC_pad_activating_regulon	pad	-0.0394035986534449	1.96024692146185e-09	0.00155264358684176	FBgn0038418	FALSE	TRUE
SCENIC_eyg_activating_regulon	eyg	-0.0402789258213323	8.54357637980289e-10	0.00162239186532039	FBgn0000625	FALSE	TRUE
SCENIC_CG10348_activating_regulon	CG10348	-0.041770836360516	1.9927627567872e-10	0.001744802770257	FBgn0032707	FALSE	TRUE
SCENIC_Doc3_activating_regulon	Doc3	-0.0421442503206856	1.37334049706954e-10	0.00177613783509261	FBgn0035954	FALSE	TRUE
SCENIC_CG8388_activating_regulon	CG8388	-0.0422190303286968	1.27419147904953e-10	0.00178244652189542	FBgn0034062	FALSE	TRUE
SCENIC_stwl_activating_regulon	stwl	-0.0422591249646398	1.22394834746394e-10	0.00178583364277704	FBgn0003459	FALSE	TRUE
SCENIC_HmgD_activating_regulon	HmgD	-0.0423158323623166	1.15617914429809e-10	0.00179062966851568	FBgn0004362	FALSE	TRUE
SCENIC_achi_activating_regulon	achi	-0.0444910632690682	1.23037521558313e-11	0.00197945471081223	FBgn0033749	FALSE	TRUE
SCENIC_ap_activating_regulon	ap	-0.0445429310564767	1.16483342457084e-11	0.00198407270710204	FBgn0267978	FALSE	TRUE
SCENIC_CG11398_activating_regulon	CG11398	-0.0450339413502666	6.91646228675852e-12	0.00202805587353925	FBgn0040366	FALSE	TRUE
SCENIC_p53_activating_regulon	p53	-0.0467614894432556	1.05767054764563e-12	0.0021866368949517	FBgn0039044	FALSE	TRUE
SCENIC_CG13123_activating_regulon	CG13123	-0.0482658929777119	1.94967358946497e-13	0.00232959642493594	FBgn0032150	FALSE	TRUE
SCENIC_Asciz_activating_regulon	Asciz	-0.0487344292901974	1.13929438198105e-13	0.00237504459824125	FBgn0035407	FALSE	TRUE
SCENIC_CG1792_activating_regulon	CG1792	-0.0496030381766624	4.15227799316707e-14	0.00246046139635543	FBgn0039860	FALSE	TRUE
SCENIC_Blimp-1_activating_regulon	Blimp-1	-0.0496841446917815	3.77547129898862e-14	0.00246851423375388	FBgn0035625	FALSE	TRUE
SCENIC_HGTX_activating_regulon	HGTX	-0.0499573500692813	2.73727632822093e-14	0.00249573682594472	FBgn0040318	FALSE	TRUE
SCENIC_Mitf_activating_regulon	Mitf	-0.050121908492908	2.25342373043715e-14	0.00251220571097144	FBgn0263112	FALSE	TRUE
SCENIC_ovo_activating_regulon	ovo	-0.0502712914081957	1.88765786057033e-14	0.00252720273984773	FBgn0003028	FALSE	TRUE
SCENIC_Hr78_activating_regulon	Hr78	-0.050513453036532	1.41500204883666e-14	0.00255160893767392	FBgn0015239	FALSE	TRUE
SCENIC_CG4936_activating_regulon	CG4936	-0.0514518592165337	4.5728697317173e-15	0.00264729381683801	FBgn0038768	FALSE	TRUE
SCENIC_bowl_activating_regulon	bowl	-0.0521069699914838	2.05352998339587e-15	0.00271513632169339	FBgn0004893	FALSE	TRUE
SCENIC_CG17612_activating_regulon	CG17612	-0.0527168083064017	9.66013406630277e-16	0.0027790618780139	FBgn0031597	FALSE	TRUE
SCENIC_repo_activating_regulon	repo	-0.0533230308183328	4.5260432900193e-16	0.00284334561565287	FBgn0011701	FALSE	TRUE
SCENIC_Lpt_activating_regulon	Lpt	-0.0533823373736081	4.20058055119736e-16	0.00284967394346972	FBgn0263667	FALSE	TRUE
SCENIC_CG4282_activating_regulon	CG4282	-0.0536097820872291	3.15275764148734e-16	0.00287400873544019	FBgn0034114	FALSE	TRUE
SCENIC_odd_activating_regulon	odd	-0.053987466284729	1.9525856993e-16	0.00291464651584475	FBgn0002985	FALSE	TRUE
SCENIC_CG1529_activating_regulon	CG1529	-0.0544367992238633	1.0994979400868e-16	0.0029633651097392	FBgn0031144	FALSE	TRUE
SCENIC_slp2_activating_regulon	slp2	-0.0554890651631257	2.81309838611343e-17	0.00307903635267761	FBgn0004567	FALSE	TRUE
