p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.64709501346955e-130	-0.466293305741592	1	1	1.53266801279887e-127	0	SCENIC-emc-activating-regulon
3.33094770016695e-130	0.59239352070092	1	1	1.92861871839666e-127	0	SCENIC-br-activating-regulon
4.02796799383643e-130	-0.516013139809318	1	1	2.33219346843129e-127	0	SCENIC-Usf-activating-regulon
9.60018964737067e-130	0.667923955619917	1	1	5.55850980582762e-127	0	SCENIC-Rfx-activating-regulon
9.7510382869277e-130	0.824433973358852	1	0.988	5.64585116813114e-127	0	SCENIC-Lim3-activating-regulon
6.78576452191182e-129	-0.489062356705047	1	1	3.92895765818694e-126	0	SCENIC-Dp-activating-regulon
6.74532768717526e-128	-0.592929951962509	1	1	3.90554473087447e-125	0	SCENIC-Jra-activating-regulon
2.98244056115137e-127	-0.667934070168982	1	1	1.72683308490664e-124	0	SCENIC-Smox-activating-regulon
1.75114132374407e-126	-0.726658835614276	1	1	1.01391082644782e-123	0	SCENIC-CG9727-activating-regulon
1.83722679048359e-125	0.706391903726138	1	1	1.06375431169e-122	0	SCENIC-CG17803-activating-regulon
3.7560654155849e-125	0.335538693685216	1	1	2.17476187562366e-122	0	SCENIC-Thd1-activating-regulon
1.60048286807617e-124	-0.279764752537897	1	1	9.26679580616102e-122	0	SCENIC-crp-activating-regulon
3.24908689173815e-124	0.468796653060375	1	1	1.88122131031639e-121	0	SCENIC-luna-activating-regulon
7.46252601724691e-124	-0.537319583617765	1	1	4.32080256398596e-121	0	SCENIC-her-activating-regulon
9.19268462551437e-123	0.573709929706226	1	1	5.32256439817282e-120	0	SCENIC-PHDP-activating-regulon
1.57303913838465e-122	0.667446609751267	1	1	9.10789661124712e-120	0	SCENIC-tup-activating-regulon
3.17956760063031e-122	0.72430963678079	1	1	1.84096964076495e-119	0	SCENIC-Rx-activating-regulon
3.46837339900668e-121	-0.473950160580571	1	1	2.00818819802487e-118	0	SCENIC-pzg-activating-regulon
4.1082131073339e-121	-0.570906880031758	1	1	2.37865538914633e-118	0	SCENIC-maf-S-activating-regulon
1.02920952163985e-120	-0.557429962377921	1	1	5.95912313029475e-118	0	SCENIC-foxo-activating-regulon
2.96881689518196e-120	-0.715510247459399	1	1	1.71894498231036e-117	0	SCENIC-Nf-YB-activating-regulon
1.03574674858068e-119	-0.669929265258679	1	1	5.99697367428216e-117	0	SCENIC-CG3847-activating-regulon
2.6631463913815e-119	-0.638236394627846	1	1	1.54196176060989e-116	0	SCENIC-ssp-activating-regulon
1.13140779469277e-118	0.764117207417725	1	1	6.55085113127111e-116	0	SCENIC-Sox21a-activating-regulon
2.3865079456597e-118	-0.368016098193322	1	1	1.38178810053697e-115	0	SCENIC-crc-activating-regulon
5.80357330167966e-117	-0.597220983340267	1	1	3.36026894167252e-114	0	SCENIC-D19B-activating-regulon
6.64585768884328e-117	0.897332918976061	1	1	3.84795160184026e-114	0	SCENIC-C15-activating-regulon
4.87210938808299e-116	0.595460115883401	1	1	2.82095133570005e-113	0	SCENIC-sr-activating-regulon
1.39280913266046e-114	0.648299277729616	1	1	8.06436487810409e-112	0	SCENIC-dimm-activating-regulon
3.46974017110039e-113	-0.720477138350505	1	1	2.00897955906712e-110	0	SCENIC-dsx-activating-regulon
6.14972319419181e-113	-0.782187576651922	1	1	3.56068972943706e-110	0	SCENIC-CG34376-activating-regulon
9.089921245427e-113	0.515014180557038	1	1	5.26306440110223e-110	0	SCENIC-pdm3-activating-regulon
4.59037398817206e-112	-0.656248367886197	1	1	2.65782653915162e-109	0	SCENIC-disco-activating-regulon
3.81653024062778e-111	-0.827824269477805	1	1	2.20977100932349e-108	0	SCENIC-CG18446-activating-regulon
1.68363233783919e-110	0.927005544882746	1	0.979	9.74823123608894e-108	0	SCENIC-CG4854-activating-regulon
3.03656852593462e-110	0.331055148167173	1	1	1.75817317651615e-107	0	SCENIC-CG31224-activating-regulon
1.72810985634064e-109	-0.577765945370924	1	1	1.00057560682123e-106	0	SCENIC-Atf3-activating-regulon
9.67328152686786e-109	-0.84767200566265	1	1	5.60083000405649e-106	0	SCENIC-ken-activating-regulon
1.16055634694267e-108	-0.176754301115545	1	1	6.71962124879804e-106	0	SCENIC-Pdp1-activating-regulon
3.41265483304206e-108	0.656944396061791	1	1	1.97592714833135e-105	0	SCENIC-Ets96B-activating-regulon
4.57983318652679e-106	-0.508247423763422	1	1	2.65172341499901e-103	0	SCENIC-Pph13-activating-regulon
7.46093110548506e-106	-0.697611427842142	1	1	4.31987911007585e-103	0	SCENIC-dl-activating-regulon
5.75634505957775e-105	-0.678651527529615	1	1	3.33292378949552e-102	0	SCENIC-CG12104-activating-regulon
6.37137199289162e-105	0.574457176587633	1	1	3.68902438388425e-102	0	SCENIC-Fer2-activating-regulon
4.34813395525088e-104	0.63576336003396	1	1	2.51756956009026e-101	0	SCENIC-run-activating-regulon
1.09049713309069e-103	0.212517056708817	1	1	6.31397840059511e-101	0	SCENIC-CG32767-activating-regulon
2.75967175582706e-103	0.544619277513216	1	1	1.59784994662387e-100	0	SCENIC-CG43689-activating-regulon
4.33840703806848e-102	-0.480195321112647	1	1	2.51193767504165e-99	0	SCENIC-Sry-delta-activating-regulon
4.73979590236893e-102	-0.382563679013928	1	1	2.74434182747161e-99	0	SCENIC-exd-activating-regulon
1.13270387126859e-101	-0.534030803016525	1	1	6.55835541464511e-99	0	SCENIC-CG10959-activating-regulon
2.20907829830816e-99	-0.747287924020192	1	1	1.27905633472042e-96	0	SCENIC-kni-activating-regulon
2.89537009554668e-99	0.331112197969559	1	1	1.67641928532153e-96	0	SCENIC-BtbVII-activating-regulon
3.79696756245006e-99	0.418857586030204	1	1	2.19844421865858e-96	0	SCENIC-Atf6-activating-regulon
1.48780146123178e-98	-0.474898695122143	1	1	8.61437046053201e-96	0	SCENIC-Ssrp-activating-regulon
4.14714713638268e-98	-0.438485186371102	1	1	2.40119819196557e-95	0	SCENIC-wdn-activating-regulon
5.05524370763497e-98	0.485366763450963	1	1	2.92698610672064e-95	0	SCENIC-fkh-activating-regulon
5.247587028147e-97	0.415509984852473	1	1	3.03835288929711e-94	0	SCENIC-onecut-activating-regulon
6.02548293389505e-97	0.77076128689108	1	0.999	3.48875461872524e-94	0	SCENIC-Gsc-activating-regulon
6.88816658494225e-97	-0.348003965923464	1	1	3.98824845268156e-94	0	SCENIC-Dif-activating-regulon
1.09009134066154e-96	-0.942983110414049	1	1	6.31162886243031e-94	0	SCENIC-Kah-activating-regulon
2.05506210895304e-96	-0.441969478576831	1	1	1.18988096108381e-93	0	SCENIC-D1-activating-regulon
4.36732802613671e-96	0.513716240252831	1	1	2.52868292713315e-93	0	SCENIC-lov-activating-regulon
4.187089538499e-95	-1.03081250515048	1	1	2.42432484279092e-92	0	SCENIC-toe-activating-regulon
5.68812452912847e-95	0.390739215137219	1	1	3.29342410236538e-92	0	SCENIC-Hr3-activating-regulon
1.71458684254798e-94	-0.495714409878175	1	1	9.92745781835279e-92	0	SCENIC-CG15514-activating-regulon
3.13555274219888e-93	-0.493515572721463	1	1	1.81548503773315e-90	0	SCENIC-noc-activating-regulon
2.20749562719166e-92	-0.454298038055363	1	1	1.27813996814397e-89	0	SCENIC-Mondo-activating-regulon
3.8583728119651e-92	0.355875614879634	1	1	2.23399785812779e-89	0	SCENIC-EcR-activating-regulon
1.22298865941851e-90	-0.817643713986571	1	1	7.08110433803316e-88	0	SCENIC-Clk-activating-regulon
2.04223939430828e-89	0.217229442595914	1	1	1.1824566093045e-86	0	SCENIC-E2f1-activating-regulon
1.2713323963329e-88	0.224639408159543	1	1	7.3610145747675e-86	0	SCENIC-fs(1)h-activating-regulon
1.32835712544187e-88	0.549364570988856	1	1	7.69118775630844e-86	0	SCENIC-otp-activating-regulon
1.60302511209559e-87	0.482213460322749	1	1	9.28151539903347e-85	0	SCENIC-CG18265-activating-regulon
8.62521410625987e-87	0.341547490978548	1	1	4.99399896752446e-84	0	SCENIC-Mef2-activating-regulon
1.9857826231619e-86	0.395392101197483	1	1	1.14976813881074e-83	0	SCENIC-pan-activating-regulon
6.22451200536116e-86	-0.45264606709146	1	1	3.60399245110411e-83	0	SCENIC-disco-r-activating-regulon
1.54298749380668e-85	0.425539444338955	1	1	8.93389758914069e-83	0	SCENIC-ham-activating-regulon
1.69979822427364e-85	-0.42277135673908	1	1	9.84183171854437e-83	0	SCENIC-CG11695-activating-regulon
2.0436545632702e-85	-0.39894084355988	1	1	1.18327599213345e-82	0	SCENIC-CG9305-activating-regulon
9.74245024888362e-85	-0.914536238464791	1	1	5.64087869410361e-82	0	SCENIC-Bap111-activating-regulon
2.70916474185325e-84	0.413298569181	1	1	1.56860638553303e-81	0	SCENIC-CG6654-activating-regulon
7.810035831219e-83	-0.638432333393566	1	1	4.5220107462758e-80	0	SCENIC-CG8944-activating-regulon
1.02463016447173e-82	-0.411998207692507	1	1	5.93260865229132e-80	0	SCENIC-Hr96-activating-regulon
