p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.65534083139579e-177	0.21600117613933	1	1	2.69544234137816e-174	0	SCENIC-hang-activating-regulon
1.8162159826128e-175	-0.450941334459371	1	1	1.05158905393281e-172	0	SCENIC-cwo-activating-regulon
2.69310208537541e-174	0.4335740430985	1	1	1.55930610743236e-171	0	SCENIC-CG18265-activating-regulon
4.66293754605326e-174	0.30847263119269	1	1	2.69984083916483e-171	0	SCENIC-jing-activating-regulon
5.58878342268184e-174	-0.364677616937063	1	1	3.23590560173278e-171	0	SCENIC-CG10321-activating-regulon
4.17501426944205e-173	0.536276327160935	1	0.996	2.41733326200695e-170	0	SCENIC-Eip78C-activating-regulon
1.02410869129584e-172	0.474437794672872	1	1	5.9295893226029e-170	0	SCENIC-fuss-activating-regulon
1.58660827876466e-172	-0.427571025061757	1	1	9.18646193404736e-170	0	SCENIC-shn-activating-regulon
8.71518282446479e-171	0.40713684224068	1	1	5.04609085536511e-168	0	SCENIC-NfI-activating-regulon
1.43194918101662e-170	-0.387866980488823	1	1	8.29098575808621e-168	0	SCENIC-D1-activating-regulon
9.39962795780774e-170	0.407411640035328	1	1	5.44238458757068e-167	0	SCENIC-Sox21b-activating-regulon
9.65056861226086e-169	0.590716098306738	1	1	5.58767922649903e-166	0	SCENIC-RunxB-activating-regulon
1.56032695904991e-167	-0.96999944427456	1	1	9.03429309289898e-165	0	SCENIC-Dll-activating-regulon
5.21366084269819e-167	0.394958308092524	1	1	3.01870962792225e-164	0	SCENIC-toy-activating-regulon
1.34643035140685e-166	-0.596384315584768	1	1	7.79583173464564e-164	0	SCENIC-polybromo-activating-regulon
1.41887797248923e-166	-0.820807034173829	1	1	8.21530346071263e-164	0	SCENIC-Ets97D-activating-regulon
1.75706218326536e-166	0.29141860926419	1	1	1.01733900411064e-163	0	SCENIC-Mef2-activating-regulon
1.67728791899189e-165	-0.454399301109677	1	1	9.71149705096303e-163	0	SCENIC-CG11695-activating-regulon
4.2763967652096e-164	0.35880584737725	1	1	2.47603372705636e-161	0	SCENIC-CG6654-activating-regulon
3.68348813738858e-163	-0.290375633108155	1	1	2.13273963154799e-160	0	SCENIC-CG4617-activating-regulon
5.56723871139706e-163	-0.636760169593925	1	1	3.2234312138989e-160	0	SCENIC-CG8944-activating-regulon
7.43335364674737e-161	-0.792122274590492	1	1	4.30391176146673e-158	0	SCENIC-knrl-activating-regulon
1.83930679663913e-160	-0.432360018919519	1	1	1.06495863525406e-157	0	SCENIC-CG2202-activating-regulon
1.20979736485927e-159	0.208170128717307	1	1	7.0047267425352e-157	0	SCENIC-Eip75B-activating-regulon
2.70148774712701e-159	0.485964829323011	1	1	1.56416140558654e-156	0	SCENIC-Hr83-activating-regulon
4.7501779465156e-159	0.376340620014542	1	1	2.75035303103253e-156	0	SCENIC-CG6765-activating-regulon
3.12538180515996e-158	-0.389272899364595	1	1	1.80959606518762e-155	0	SCENIC-CG9305-activating-regulon
8.89801156823215e-157	0.256200741737838	1	1	5.15194869800641e-154	0	SCENIC-CG12605-activating-regulon
2.12869110295535e-156	-1.09291423459494	1	1	1.23251214861115e-153	0	SCENIC-bowl-activating-regulon
4.20451184661787e-156	0.310757148101255	1	1	2.43441235919175e-153	0	SCENIC-dac-activating-regulon
2.17663807270443e-155	-1.39732986330505	1	1	1.26027344409586e-152	0	SCENIC-CG10348-activating-regulon
6.56210208861936e-155	0.508666703990813	1	0.999	3.79945710931061e-152	0	SCENIC-nerfin-2-activating-regulon
1.4960647291967e-153	-0.815521462750811	1	1	8.6622147820489e-151	0	SCENIC-klu-activating-regulon
9.15419863934234e-153	0.345242833300304	1	1	5.30028101217921e-150	0	SCENIC-pho-activating-regulon
3.47294932753462e-151	0.494006248657472	0.997	0.979	2.01083766064255e-148	0	SCENIC-CG1024-activating-regulon
1.19041574546175e-150	-0.501305365366636	1	1	6.89250716622354e-148	0	SCENIC-CG1647-activating-regulon
1.24166856453042e-150	0.40625592574252	1	1	7.18926098863116e-148	0	SCENIC-CG9650-activating-regulon
2.53264077106305e-150	-0.20470094983819	1	1	1.46639900644551e-147	0	SCENIC-Blimp-1-activating-regulon
3.69822823512482e-150	0.598222221024461	1	0.999	2.14127414813727e-147	0	SCENIC-ATbp-activating-regulon
6.27071767911913e-150	-0.744529085065842	1	1	3.63074553620998e-147	0	SCENIC-lbe-activating-regulon
8.88514884730849e-150	0.320356328466078	1	1	5.14450118259161e-147	0	SCENIC-Camta-activating-regulon
7.37069395665339e-149	0.452946978587208	1	1	4.26763180090231e-146	0	SCENIC-tio-activating-regulon
1.18408505190432e-147	-0.39428926414307	1	1	6.85585245052604e-145	0	SCENIC-Hr96-activating-regulon
2.24273468612547e-147	0.927868921106158	1	0.965	1.29854338326665e-144	0	SCENIC-HHEX-activating-regulon
2.63131852901483e-147	-0.505944142813722	1	1	1.52353342829959e-144	0	SCENIC-drm-activating-regulon
2.29025282689956e-146	0.453603583048954	1	1	1.32605638677484e-143	0	SCENIC-fd59A-activating-regulon
5.77836825652071e-146	0.320495060183098	1	1	3.34567522052549e-143	0	SCENIC-BuGZ-activating-regulon
5.89493803759487e-146	0.509567526841209	1	0.999	3.41316912376743e-143	0	SCENIC-Meics-activating-regulon
1.0962037015586e-145	0.23836120013796	1	1	6.34701943202432e-143	0	SCENIC-scrt-activating-regulon
9.04559301550845e-144	-0.489834453590664	1	1	5.23739835597939e-141	0	SCENIC-Dr-activating-regulon
1.92126637210475e-142	-0.690950659538317	1	1	1.11241322944865e-139	0	SCENIC-E(spl)mbeta-HLH-activating-regulon
6.22002596547558e-142	-1.01968715134732	1	1	3.60139503401036e-139	0	SCENIC-H2.0-activating-regulon
7.44651398098896e-142	0.609192585413935	1	0.999	4.31153159499261e-139	0	SCENIC-OdsH-activating-regulon
1.83666535914265e-141	0.392064274649919	1	1	1.06342924294359e-138	0	SCENIC-Hr51-activating-regulon
3.06161731435651e-141	-0.34308740653904	1	1	1.77267642501242e-138	0	SCENIC-CG31388-activating-regulon
6.75048771151341e-139	0.585769974807106	1	0.973	3.90853238496626e-136	0	SCENIC-dmrt93B-activating-regulon
1.44769794875494e-138	-0.616732026196583	1	1	8.38217112329111e-136	0	SCENIC-ci-activating-regulon
1.94153794422805e-137	0.307206436617746	1	1	1.12415046970804e-134	0	SCENIC-fru-activating-regulon
5.96793124854454e-137	-1.03107293277988	1	1	3.45543219290729e-134	0	SCENIC-ovo-activating-regulon
7.19415297791225e-137	-0.279663717255994	1	1	4.16541457421119e-134	0	SCENIC-Clamp-activating-regulon
7.86122290936266e-137	-1.10758812181504	1	1	4.55164806452098e-134	0	SCENIC-CG4374-activating-regulon
1.27530808586379e-136	0.542394028886202	1	0.998	7.38403381715136e-134	0	SCENIC-CG18011-activating-regulon
1.29762805951653e-136	-0.535017631446359	1	1	7.51326646460068e-134	0	SCENIC-bigmax-activating-regulon
2.42665343691817e-136	0.174517161616168	1	1	1.40503233997562e-133	0	SCENIC-hb-activating-regulon
2.55758804240231e-134	-0.915770143261166	1	1	1.48084347655094e-131	0	SCENIC-Pbp95-activating-regulon
5.82370728315336e-134	-0.763266385478829	1	1	3.37192651694579e-131	0	SCENIC-woc-activating-regulon
9.97407138416222e-134	-0.275013481586294	1	1	5.77498733142992e-131	0	SCENIC-Max-activating-regulon
1.99267480399884e-133	0.503206818412075	1	1	1.15375871151533e-130	0	SCENIC-HLH4C-activating-regulon
1.59493923334769e-128	0.247638202146749	1	1	9.23469816108312e-126	0	SCENIC-Mnt-activating-regulon
1.6704525704514e-128	-0.945676517098678	0.993	0.996	9.6719203829136e-126	0	SCENIC-E(spl)m7-HLH-activating-regulon
1.67445088583596e-128	-0.847712137788034	1	1	9.69507062899022e-126	0	SCENIC-tx-activating-regulon
1.55403900939873e-127	0.297553791600373	1	1	8.99788586441864e-125	0	SCENIC-CG12769-activating-regulon
3.16316263334062e-127	-0.627633460360813	1	1	1.83147116470422e-124	0	SCENIC-Dfd-activating-regulon
4.33821200912306e-127	-0.863638159686297	1	1	2.51182475328225e-124	0	SCENIC-CG14050-activating-regulon
4.77912501975333e-127	0.479320238361521	1	0.999	2.76711338643718e-124	0	SCENIC-CG8924-activating-regulon
1.32974129146198e-123	-0.200315761289576	1	1	7.69920207756484e-121	0	SCENIC-CG18476-activating-regulon
4.54830233541933e-122	0.387066125967949	1	1	2.63346705220779e-119	0	SCENIC-MTA1-like-activating-regulon
1.80742269652042e-121	-0.340356954778263	1	1	1.04649774128532e-118	0	SCENIC-REPTOR-BP-activating-regulon
3.80894150718427e-121	0.565897566463836	1	0.996	2.20537713265969e-118	0	SCENIC-CG6791-activating-regulon
1.71199032742817e-120	0.433182903772742	1	1	9.91242399580911e-118	0	SCENIC-bsh-activating-regulon
2.75666487704856e-120	0.360222971305781	1	1	1.59610896381112e-117	0	SCENIC-Drgx-activating-regulon
1.33510786662742e-118	0.286840593356349	1	1	7.73027454777274e-116	0	SCENIC-ara-activating-regulon
1.70212575245028e-116	0.224392478877198	1	0.999	9.85530810668714e-114	0	SCENIC-twi-activating-regulon
