p_val	avg_diff	p_val_adj	regulon	gene
0	0.0237266524570532	0	SCENIC_DHX36_activating_regulon	DHX36
0	0.0233632356723347	0	SCENIC_SNRPB2_activating_regulon	SNRPB2
0	0.0233552296595267	0	SCENIC_BHLHE41_activating_regulon	BHLHE41
0	0.0232815591622513	0	SCENIC_NKX2-1_activating_regulon	NKX2-1
0	0.0231962740811427	0	SCENIC_FEV_activating_regulon	FEV
0	0.0228917427406335	0	SCENIC_NKX2-8_activating_regulon	NKX2-8
0	0.0228676465667866	0	SCENIC_MAPK1_activating_regulon	MAPK1
0	0.0226378861377961	0	SCENIC_TROVE2_activating_regulon	TROVE2
0	0.0225041941907403	0	SCENIC_ZNF281_activating_regulon	ZNF281
0	0.022396136452722	0	SCENIC_NONO_activating_regulon	NONO
0	0.0212743682518759	0	SCENIC_HOXA7_activating_regulon	HOXA7
0	0.0207384875402926	0	SCENIC_RAB7A_activating_regulon	RAB7A
0	0.020692861297105	0	SCENIC_HNRNPA0_activating_regulon	HNRNPA0
0	0.0205791650753741	0	SCENIC_BHLHE22_activating_regulon	BHLHE22
0	0.0202061531159381	0	SCENIC_TCF24_activating_regulon	TCF24
0	0.0199652423207037	0	SCENIC_NCBP2_activating_regulon	NCBP2
0	0.0198615995036877	0	SCENIC_EGR1_activating_regulon	EGR1
0	0.0198382057033395	0	SCENIC_THAP11_activating_regulon	THAP11
0	0.0195572854621298	0	SCENIC_ZNF689_activating_regulon	ZNF689
0	0.0195561287478251	0	SCENIC_JUNB_activating_regulon	JUNB
0	0.0194404286267162	0	SCENIC_CHURC1_activating_regulon	CHURC1
0	0.0193881610909953	0	SCENIC_FOSB_activating_regulon	FOSB
0	0.0193805923027952	0	SCENIC_HOXD1_activating_regulon	HOXD1
0	0.0191195922435099	0	SCENIC_PHLDA2_activating_regulon	PHLDA2
0	0.0189898877874434	0	SCENIC_CEBPD_activating_regulon	CEBPD
0	0.0188854657372902	0	SCENIC_H1FX_activating_regulon	H1FX
0	0.0188194613046744	0	SCENIC_ZNF770_activating_regulon	ZNF770
0	0.0187399448797295	0	SCENIC_CXXC5_activating_regulon	CXXC5
0	0.0183434471422945	0	SCENIC_CEBPB_activating_regulon	CEBPB
0	0.0182947252651861	0	SCENIC_NR4A1_activating_regulon	NR4A1
0	0.0182743433977726	0	SCENIC_TCF15_activating_regulon	TCF15
0	0.01776915168139	0	SCENIC_SFT2D1_activating_regulon	SFT2D1
0	0.0176185467730793	0	SCENIC_HES4_activating_regulon	HES4
0	0.017563635723171	0	SCENIC_PSMC2_activating_regulon	PSMC2
0	0.0175477723437591	0	SCENIC_RBM42_activating_regulon	RBM42
0	0.0170892433849233	0	SCENIC_ZNF483_activating_regulon	ZNF483
0	0.0170686739078309	0	SCENIC_ZCCHC17_activating_regulon	ZCCHC17
0	0.0168166910649424	0	SCENIC_ARG2_activating_regulon	ARG2
0	0.0167951395901767	0	SCENIC_EN2_activating_regulon	EN2
0	0.016714937919374	0	SCENIC_POLE3_activating_regulon	POLE3
0	0.0165125008128077	0	SCENIC_SALL1_activating_regulon	SALL1
0	0.016427846871913	0	SCENIC_SALL2_activating_regulon	SALL2
0	0.0162642572370562	0	SCENIC_ZNF408_activating_regulon	ZNF408
0	0.0160466141518998	0	SCENIC_MYLK_activating_regulon	MYLK
0	0.015749212742018	0	SCENIC_ID4_activating_regulon	ID4
0	0.0157430359158117	0	SCENIC_HES1_activating_regulon	HES1
0	0.015715347757404	0	SCENIC_BRF2_activating_regulon	BRF2
0	0.0156917763639814	0	SCENIC_HNRNPH3_activating_regulon	HNRNPH3
0	0.0156542339791149	0	SCENIC_SNAPC5_activating_regulon	SNAPC5
0	0.0153434487116887	0	SCENIC_CREB3L4_activating_regulon	CREB3L4
0	0.0153403292093399	0	SCENIC_SOX21_activating_regulon	SOX21
0	0.0151809700346268	0	SCENIC_EIF5A2_activating_regulon	EIF5A2
0	0.0150643043179195	0	SCENIC_SOX18_activating_regulon	SOX18
0	0.0148172777160306	0	SCENIC_STAT1_activating_regulon	STAT1
0	0.0146802261084421	0	SCENIC_NR2F6_activating_regulon	NR2F6
0	0.0145152918756692	0	SCENIC_ZNF853_activating_regulon	ZNF853
0	0.0143955295672796	0	SCENIC_YY1_activating_regulon	YY1
0	0.0142461297334048	0	SCENIC_MLX_activating_regulon	MLX
0	0.0142277516011777	0	SCENIC_POLE4_activating_regulon	POLE4
0	0.014205504331569	0	SCENIC_NFE2L3_activating_regulon	NFE2L3
0	0.0141134447272573	0	SCENIC_HADHB_activating_regulon	HADHB
0	0.0140777986842869	0	SCENIC_ZNF570_activating_regulon	ZNF570
0	0.014024673452925	0	SCENIC_CTNNB1_activating_regulon	CTNNB1
0	0.0139131413058733	0	SCENIC_THAP1_activating_regulon	THAP1
0	0.013581084033267	0	SCENIC_POU3F3_activating_regulon	POU3F3
0	0.0133935542753688	0	SCENIC_ZNF358_activating_regulon	ZNF358
0	0.0125807966619125	0	SCENIC_NELFB_activating_regulon	NELFB
0	0.0124762964730499	0	SCENIC_GPD1_activating_regulon	GPD1
0	0.0124247108139397	0	SCENIC_MIEF1_activating_regulon	MIEF1
0	0.0123015238501389	0	SCENIC_HNRNPA1_activating_regulon	HNRNPA1
0	0.0122364011675123	0	SCENIC_ATF3_activating_regulon	ATF3
0	0.0120371696657747	0	SCENIC_ZNF302_activating_regulon	ZNF302
0	0.0119620436298071	0	SCENIC_SUCLG1_activating_regulon	SUCLG1
